,행정구역,동,차명
0,강남구,개포동,Model 3 Standard Range Plus 
1,강남구,개포동,Model 3 Standard Range Plus 
2,강남구,개포동,CHEVROLET BOLT EV
3,강남구,개포동,GV60
4,강남구,개포동,Model Y Long Range
5,강남구,개포동,아이오닉 일렉트릭(IONIQ ELEC
6,강남구,개포동,EV6
7,강남구,개포동,Model 3 Long Range
8,강남구,개포동,코나 일렉트릭 (KONA ELECTRIC
9,강남구,개포동,EV6
10,강남구,개포동,Model 3 Long Range
11,강남구,개포동,포터Ⅱ 일렉트릭 내장탑차 (PO
12,강남구,개포동,Model S 100D
13,강남구,개포동,Model 3 Long Range
14,강남구,개포동,Model 3 Long Range
15,강남구,개포동,코나 일렉트릭 (KONA ELECTRIC
16,강남구,개포동,Model X Performance
17,강남구,개포동,e-tron 55 quattro
18,강남구,논현동,CHEVROLET BOLT EV
19,강남구,개포동,G80
20,강남구,개포동,Model 3 Long Range
21,강남구,개포동,Peugeot e-208
22,강남구,논현동,LEAF
23,강남구,논현동,Model 3 Standard Range Plus 
24,강남구,논현동,EV6
25,강남구,논현동,e-tron 55 quattro
26,강남구,개포동,Model 3 Long Range
27,강남구,개포동,Model 3 Long Range
28,강남구,개포동,포터Ⅱ 일렉트릭 (PORTERⅡ EL
29,강남구,논현동,TWIZY
30,강남구,논현동,Model 3 Long Range
31,강남구,논현동,Model 3 Long Range
32,강남구,논현동,Model S 100D
33,강남구,논현동,볼보 C40 Recharge Twin
34,강남구,논현동,아이오닉5 (IONIQ5)
35,강남구,논현동,Model S Long Range
36,강남구,논현동,Model X 100D
37,강남구,논현동,아이오닉5 (IONIQ5)
38,강남구,논현동,Model 3 Long Range
39,강남구,논현동,봉고Ⅲ EV 내장차
40,강남구,대치동,코나 일렉트릭 (KONA ELECTRIC
41,강남구,대치동,Model 3 Long Range
42,강남구,대치동,G80
43,강남구,논현동,TWIZY
44,강남구,논현동,Model 3 Long Range
45,강남구,논현동,봉고Ⅲ EV 내장차
46,강남구,대치동,아이오닉 일렉트릭(IONIQ ELEC
47,강남구,대치동,EV6
48,강남구,대치동,아이오닉5 (IONIQ5)
49,강남구,대치동,아이오닉5 (IONIQ5)
50,강남구,대치동,쏘울 EV
51,강남구,대치동,쏘울 EV
52,강남구,대치동,코나 일렉트릭 (KONA ELECTRIC
53,강남구,대치동,EV6
54,강남구,대치동,EV6
55,강남구,대치동,EV6
56,강남구,대치동,EV6
57,강남구,대치동,EV6
58,강남구,대치동,EV6
59,강남구,대치동,CEVO-C SE
60,강남구,대치동,CEVO-C SE
61,강남구,대치동,Model 3 Long Range
62,강남구,대치동,아이오닉5 (IONIQ5)
63,강남구,대치동,아이오닉5 (IONIQ5)
