,행정구역,동,차명,충전단자
0,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
1,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
2,강남구,개포동,CHEVROLET BOLT EV,"DC콤보, AC(5핀)"
3,강남구,개포동,GV60,"DC콤보, AC(5핀)"
4,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
5,강남구,개포동,아이오닉 EV,"DC콤보, AC(5핀)"
6,강남구,개포동,EV6,"DC콤보, AC(5핀)"
7,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
8,강남구,개포동,코나 일렉트릭,"DC콤보, AC(5핀)"
9,강남구,개포동,EV6,"DC콤보, AC(5핀)"
10,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
11,강남구,개포동,포터Ⅱ 일렉트릭,"DC콤보, AC(5핀)"
12,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
13,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
14,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
15,강남구,개포동,코나 일렉트릭,"DC콤보, AC(5핀)"
16,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
17,강남구,개포동,e-tron,"DC콤보, AC(5핀)"
18,강남구,논현동,CHEVROLET BOLT EV,"DC콤보, AC(5핀)"
19,강남구,개포동,G80,"DC콤보, AC(5핀)"
20,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
21,강남구,개포동,Peugeot e-208,"DC콤보, AC(5핀)"
22,강남구,논현동,LEAF,"DC차데모, AC(5핀)"
23,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
24,강남구,논현동,EV6,"DC콤보, AC(5핀)"
25,강남구,논현동,e-tron,"DC콤보, AC(5핀)"
26,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
27,강남구,개포동,테슬라,"DC콤보, AC(7핀)"
28,강남구,개포동,포터Ⅱ 일렉트릭,"DC콤보, AC(5핀)"
29,강남구,논현동,TWIZY,"DC콤보, AC(5핀)"
30,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
31,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
32,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
33,강남구,논현동,볼보 C40 Recharge Twin,"DC콤보, AC(5핀)"
34,강남구,논현동,아이오닉 EV,"DC콤보, AC(5핀)"
35,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
36,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
37,강남구,논현동,아이오닉 EV,"DC콤보, AC(5핀)"
38,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
39,강남구,논현동,봉고Ⅲ EV,"DC콤보, AC(5핀)"
40,강남구,대치동,코나 일렉트릭,"DC콤보, AC(5핀)"
41,강남구,대치동,테슬라,"DC콤보, AC(7핀)"
42,강남구,대치동,G80,"DC콤보, AC(5핀)"
43,강남구,논현동,TWIZY,"DC콤보, AC(5핀)"
44,강남구,논현동,테슬라,"DC콤보, AC(7핀)"
45,강남구,논현동,봉고Ⅲ EV,"DC콤보, AC(5핀)"
46,강남구,대치동,아이오닉 EV,"DC콤보, AC(5핀)"
47,강남구,대치동,EV6,"DC콤보, AC(5핀)"
48,강남구,대치동,아이오닉 EV,"DC콤보, AC(5핀)"
49,강남구,대치동,아이오닉 EV,"DC콤보, AC(5핀)"
50,강남구,대치동,쏘울 EV,"DC차데모, AC(5핀)"
51,강남구,대치동,쏘울 EV,"DC차데모, AC(5핀)"
52,강남구,대치동,코나 일렉트릭,"DC콤보, AC(5핀)"
53,강남구,대치동,EV6,"DC콤보, AC(5핀)"
54,강남구,대치동,EV6,"DC콤보, AC(5핀)"
55,강남구,대치동,EV6,"DC콤보, AC(5핀)"
56,강남구,대치동,EV6,"DC콤보, AC(5핀)"
57,강남구,대치동,EV6,"DC콤보, AC(5핀)"
58,강남구,대치동,EV6,"DC콤보, AC(5핀)"
59,강남구,대치동,CEVO-C SE,"DC콤보, AC(5핀)"
60,강남구,대치동,CEVO-C SE,"DC콤보, AC(5핀)"
61,강남구,대치동,테슬라,"DC콤보, AC(7핀)"
62,강남구,대치동,아이오닉 EV,"DC콤보, AC(5핀)"
63,강남구,대치동,아이오닉 EV,"DC콤보, AC(5핀)"
64,강남구,대치동,아이오닉 EV,"DC콤보, AC(5핀)"
65,강남구,대치동,쏘울 EV,"DC차데모, AC(5핀)"
66,강남구,대치동,아이오닉 EV,"DC콤보, AC(5핀)"
67,강남구,대치동,EV6,"DC콤보, AC(5핀)"
