,행정구역,동,동별 전기차 수,동별 충전소 수
0,강남구,개포동,216,0
1,강남구,논현동,177,3
2,강남구,대치동,9654,6
3,동작구,상도동,212,6
4,동작구,신대방동,115,0
5,동작구,흑석동,67,1
6,마포구,공덕동,124,6
7,마포구,대흥동,27,1
8,마포구,도화동,45,3
9,마포구,망원동,92,0
10,마포구,상암동,132,1
11,마포구,서강동,69,0
12,마포구,서교동,68,1
13,마포구,성산동,153,2
14,마포구,신수동,50,0
15,마포구,아현동,65,5
16,마포구,연남동,33,1
17,강남구,도곡동,251,5
18,마포구,염리동,86,0
19,마포구,용강동,68,3
20,마포구,합정동,74,3
21,서대문구,남가좌동,97,2
22,강남구,삼성동,259,12
23,서대문구,북가좌동,107,2
24,강남구,세곡동,196,5
25,서대문구,북아현동,32,0
26,서대문구,연희동,118,3
27,강남구,수서동,55,1
28,서대문구,천연동,27,0
29,강남구,신사동,56,1
30,서대문구,충현동,66,0
31,서대문구,홍은동,108,1
32,강남구,압구정동,82,0
33,서대문구,홍제동,84,3
34,강남구,역삼동,877,8
35,서초구,내곡동,139,2
36,서초구,반포동,428,7
37,서초구,반포본동,62,0
38,서초구,방배동,197,10
39,강남구,일원동,137,3
40,강남구,일원본동,60,0
41,서초구,방배본동,57,0
42,서초구,서초동,1425,14
43,강남구,청담동,153,3
44,강동구,강일동,142,8
45,강동구,고덕동,179,1
46,서초구,양재동,1132,4
47,서초구,잠원동,55,2
48,성동구,금호동,120,0
49,성동구,마장동,132,1
50,성동구,성수동,792,0
51,성동구,옥수동,95,0
52,성동구,왕십리동,24,0
53,성동구,왕십리도선동,67,0
54,성동구,용답동,53,1
55,성동구,행당동,117,1
56,성북구,길음동,123,2
57,강동구,길동,156,0
58,성북구,돈암동,90,5
59,강동구,둔촌동,50,0
60,성북구,보문동,39,1
61,강동구,명일동,94,3
62,성북구,삼선동,67,3
63,성북구,석관동,52,2
64,성북구,성북동,46,0
65,강동구,상일동,99,0
66,성북구,월곡동,69,0
67,강동구,상일제동,80,0
68,성북구,장위동,101,1
69,강동구,성내동,180,0
70,성북구,정릉동,240,4
71,강동구,암사동,135,3
72,성북구,종암동,71,1
73,송파구,가락동,219,4
74,강동구,천호동,178,13
75,강북구,미아동,29,5
76,강북구,번동,126,4
77,강북구,삼각산동,57,0
78,송파구,가락본동,55,0
79,송파구,거여동,80,5
80,강북구,삼양동,35,0
81,강북구,송중동,33,0
82,송파구,마천동,80,3
83,강북구,수유동,91,1
84,강북구,우이동,42,0
85,강북구,인수동,73,0
86,송파구,문정동,197,2
87,강서구,가양동,535,1
88,송파구,방이동,123,2
89,송파구,삼전동,70,1
90,송파구,석촌동,64,0
91,송파구,송파동,92,2
92,송파구,오금동,99,2
93,송파구,오륜동,37,0
94,강서구,공항동,179,0
95,송파구,위례동,175,0
96,강서구,등촌동,145,2
97,송파구,잠실동,455,3
98,강서구,발산동,190,0
99,강서구,방화동,270,3
100,강서구,염창동,101,0
101,송파구,잠실본동,76,0
102,강서구,우장산동,75,0
103,송파구,장지동,78,12
104,송파구,풍납동,88,2
105,강서구,화곡동,240,2
106,양천구,목동,309,11
107,강서구,화곡본동,41,0
108,관악구,낙성대동,24,0
109,관악구,난곡동,21,0
110,관악구,난향동,25,0
111,관악구,남현동,20,0
112,관악구,대학동,95,0
113,양천구,신월동,249,7
